,player_id,season,competition,club,appearances,goals,assists,yellow,secondyellow,red,minutes,uyl_team,uyl_name,uyl_wins
17,505653,19/20,Europa League,FC Porto,3,0,0,0,0,0,34,FC Porto,Fábio Silva,1
18,290336,19/20,Europa League,Vitória Guimarães SC,6,1,1,0,0,0,224,SL Benfica,Rochinha,0
19,290336,19/20,Europa League Qualifying,Vitória Guimarães SC,6,2,4,0,0,0,475,SL Benfica,Rochinha,0
20,392768,20/21,Champions League,Chelsea FC,7,2,0,0,0,0,338,Chelsea FC,Callum Hudson-Odoi,0
21,392768,19/20,Champions League,Chelsea FC,5,0,1,0,0,0,261,Chelsea FC,Callum Hudson-Odoi,0
22,392768,18/19,Europa League,Chelsea FC,9,4,2,0,0,0,416,Chelsea FC,Callum Hudson-Odoi,0
23,365172,20/21,Europa League,Red Bull Salzburg,2,0,1,1,0,0,180,Red Bull Salzburg,Patson Daka,1
24,365172,20/21,Champions League,Red Bull Salzburg,4,0,1,0,0,0,206,Red Bull Salzburg,Patson Daka,1
25,365172,20/21,Champions League Qualifying,Red Bull Salzburg,2,2,1,0,0,0,180,Red Bull Salzburg,Patson Daka,1
26,365172,19/20,Europa League,Red Bull Salzburg,2,0,1,0,0,0,135,Red Bull Salzburg,Patson Daka,1
27,365172,19/20,Champions League,Red Bull Salzburg,6,1,0,0,0,0,241,Red Bull Salzburg,Patson Daka,1
28,365172,18/19,Europa League,Red Bull Salzburg,4,2,0,0,0,0,157,Red Bull Salzburg,Patson Daka,1
29,365172,18/19,Champions League Qualifying,Red Bull Salzburg,4,0,0,0,0,0,97,Red Bull Salzburg,Patson Daka,1
30,365172,17/18,Europa League,Red Bull Salzburg,1,0,0,0,0,0,25,Red Bull Salzburg,Patson Daka,1
31,365172,17/18,Europa League Qualifying,Red Bull Salzburg,1,0,0,1,0,0,34,Red Bull Salzburg,Patson Daka,1
32,537762,20/21,Champions League,Real Madrid,2,0,0,0,0,0,30,Real Madrid,Sergio Arribas,1
33,294780,18/19,Europa League Qualifying,FK Mariupol,4,1,0,3,0,0,390,Shakhtar Donetsk,Oleksandr Pikhalyonok,0
34,321070,20/21,Champions League,Borussia Mönchengladbach,7,0,0,0,0,0,77,Red Bull Salzburg,Hannes Wolf,1
35,321070,18/19,Europa League,Red Bull Salzburg,10,1,3,0,0,0,771,Red Bull Salzburg,Hannes Wolf,1
36,321070,18/19,Champions League Qualifying,Red Bull Salzburg,4,0,1,0,0,0,357,Red Bull Salzburg,Hannes Wolf,1
37,321070,17/18,Europa League,Red Bull Salzburg,7,0,0,1,0,0,401,Red Bull Salzburg,Hannes Wolf,1
38,321070,17/18,Europa League Qualifying,Red Bull Salzburg,2,1,2,0,0,0,126,Red Bull Salzburg,Hannes Wolf,1
39,321070,17/18,Champions League Qualifying,Red Bull Salzburg,4,0,0,0,0,0,126,Red Bull Salzburg,Hannes Wolf,1
40,321070,16/17,Europa League,Red Bull Salzburg,1,0,1,0,0,0,15,Red Bull Salzburg,Hannes Wolf,1
41,346483,20/21,Champions League,Chelsea FC,11,2,2,4,0,0,761,Chelsea FC,Mason Mount,1
42,346483,19/20,Champions League,Chelsea FC,8,0,0,0,0,0,451,Chelsea FC,Mason Mount,1
43,346483,19/20,UEFA Super Cup,Chelsea FC,1,0,0,0,0,0,46,Chelsea FC,Mason Mount,1
44,346483,17/18,Europa League,Vitesse Arnhem,6,0,0,1,0,0,367,Chelsea FC,Mason Mount,1
45,202886,18/19,Europa League,Chelsea FC,11,4,3,1,0,0,716,Chelsea FC,Ruben Loftus-Cheek,1
46,202886,15/16,Champions League,Chelsea FC,1,0,0,1,0,0,77,Chelsea FC,Ruben Loftus-Cheek,1
47,202886,14/15,Champions League,Chelsea FC,1,0,0,0,0,0,7,Chelsea FC,Ruben Loftus-Cheek,1
48,462250,20/21,Champions League,Atlético Madrid,8,3,0,0,0,0,708,SL Benfica,João Félix,0
49,462250,19/20,Champions League,Atlético Madrid,6,3,1,0,0,0,426,SL Benfica,João Félix,0
50,462250,18/19,Europa League,SL Benfica,6,3,1,2,0,0,494,SL Benfica,João Félix,0
51,462250,18/19,Champions League,SL Benfica,1,0,0,0,0,0,77,SL Benfica,João Félix,0
52,462250,18/19,Champions League Qualifying,SL Benfica,2,0,0,0,0,0,15,SL Benfica,João Félix,0
53,331511,20/21,Champions League,FC Barcelona,4,0,0,0,0,0,86,FC Barcelona,Riqui Puig,1
54,258039,20/21,Europa League,Royal Antwerp FC,8,0,0,0,0,0,368,SL Benfica,Aurélio Buta,0
55,258039,19/20,Europa League Qualifying,Royal Antwerp FC,3,0,0,0,1,0,283,SL Benfica,Aurélio Buta,0
56,537602,20/21,Champions League,FC Porto,2,0,0,0,0,0,83,FC Porto,João Mário,1
57,204103,19/20,Europa League,Wolverhampton Wanderers,10,2,0,1,0,0,628,FC Barcelona,Adama Traoré,1
58,204103,19/20,Europa League Qualifying,Wolverhampton Wanderers,5,0,3,0,0,0,424,FC Barcelona,Adama Traoré,1
59,204103,13/14,Champions League,FC Barcelona,1,0,0,0,0,0,8,FC Barcelona,Adama Traoré,1
60,481623,20/21,Europa League,SL Benfica,1,0,1,1,0,0,90,SL Benfica,João Ferreira,0
61,357162,19/20,Europa League,SL Benfica,1,0,0,1,0,0,90,SL Benfica,Florentino,0
62,357162,19/20,Champions League,SL Benfica,2,0,0,1,0,0,180,SL Benfica,Florentino,0
63,357162,18/19,Europa League,SL Benfica,3,0,0,0,0,0,238,SL Benfica,Florentino,0
64,537598,20/21,Champions League,FC Porto,6,1,0,0,0,0,158,FC Porto,Fábio Vieira,1
65,341227,18/19,Champions League,FC Barcelona,1,0,0,0,0,0,90,FC Barcelona,Juan Miranda,1
66,204102,18/19,Europa League,Villarreal CF,1,0,0,1,0,0,90,FC Barcelona,Xavi Quintillà,1
67,331505,20/21,Champions League,FC Barcelona,5,0,1,1,0,0,242,FC Barcelona,Óscar Mingueza,1
68,433181,20/21,Champions League,Chelsea FC,1,0,0,0,0,0,80,Chelsea FC,Faustino Anjorin,0
69,258015,20/21,Europa League,SL Benfica,5,1,0,1,0,0,349,SL Benfica,Diogo Gonçalves,0
70,258015,17/18,Champions League,SL Benfica,4,0,0,1,0,0,266,SL Benfica,Diogo Gonçalves,0
71,290391,20/21,Europa League Qualifying,Sporting CP,1,0,1,0,0,0,78,SL Benfica,Nuno Santos,0
72,289075,20/21,Champions League,Ferencvárosi TC,5,0,1,0,0,0,391,Shakhtar Donetsk,Oleksandr Zubkov,0
73,289075,20/21,Champions League Qualifying,Ferencvárosi TC,2,0,0,0,0,0,107,Shakhtar Donetsk,Oleksandr Zubkov,0
74,289075,19/20,Europa League,Ferencvárosi TC,6,0,1,0,0,0,468,Shakhtar Donetsk,Oleksandr Zubkov,0
75,289075,19/20,Europa League Qualifying,Ferencvárosi TC,2,0,2,0,0,0,180,Shakhtar Donetsk,Oleksandr Zubkov,0
76,289075,19/20,Champions League Qualifying,Ferencvárosi TC,6,1,3,1,0,0,540,Shakhtar Donetsk,Oleksandr Zubkov,0
77,388513,20/21,Champions League,Borussia Dortmund,7,0,0,1,0,0,455,FC Barcelona,Mateu Morey Bauzà,1
78,264956,18/19,Europa League,RB Leipzig,6,2,0,1,0,0,422,Paris Saint-Germain,Jean-Kévin Augustin,0
79,264956,18/19,Europa League Qualifying,RB Leipzig,5,2,2,1,0,0,330,Paris Saint-Germain,Jean-Kévin Augustin,0
80,264956,17/18,Europa League,RB Leipzig,6,2,1,1,0,0,342,Paris Saint-Germain,Jean-Kévin Augustin,0
81,264956,17/18,Champions League,RB Leipzig,5,1,0,1,0,0,342,Paris Saint-Germain,Jean-Kévin Augustin,0
82,264956,15/16,Champions League,Paris Saint-Germain,1,0,0,0,0,0,5,Paris Saint-Germain,Jean-Kévin Augustin,0
83,550550,20/21,Europa League,SL Benfica,2,0,1,0,0,0,31,SL Benfica,Gonçalo Ramos,0
84,357156,20/21,Champions League,FC Porto,3,0,0,0,0,0,182,FC Porto,Diogo Leite,1
85,357156,19/20,Europa League,FC Porto,1,0,0,0,0,0,6,FC Porto,Diogo Leite,1
86,357156,18/19,Champions League,FC Porto,1,0,0,0,0,0,90,FC Porto,Diogo Leite,1
87,258004,20/21,Champions League,Manchester City,11,0,0,1,0,0,970,SL Benfica,Rúben Dias,0
88,258004,20/21,Champions League Qualifying,SL Benfica,1,0,0,0,0,0,90,SL Benfica,Rúben Dias,0
89,258004,19/20,Europa League,SL Benfica,2,1,0,0,0,0,180,SL Benfica,Rúben Dias,0
90,258004,19/20,Champions League,SL Benfica,6,0,0,1,0,0,540,SL Benfica,Rúben Dias,0
91,258004,18/19,Europa League,SL Benfica,6,1,1,0,0,0,570,SL Benfica,Rúben Dias,0
92,258004,18/19,Champions League,SL Benfica,5,0,0,1,1,0,405,SL Benfica,Rúben Dias,0
93,258004,18/19,Champions League Qualifying,SL Benfica,4,0,0,1,0,0,360,SL Benfica,Rúben Dias,0
94,258004,17/18,Champions League,SL Benfica,2,0,0,1,0,0,180,SL Benfica,Rúben Dias,0
95,289059,20/21,Europa League,Shakhtar Donetsk,4,0,1,0,0,0,360,Shakhtar Donetsk,Mykola Matvienko,0
96,289059,20/21,Champions League,Shakhtar Donetsk,4,0,0,0,0,0,298,Shakhtar Donetsk,Mykola Matvienko,0
97,289059,19/20,Europa League,Shakhtar Donetsk,6,0,0,0,0,0,540,Shakhtar Donetsk,Mykola Matvienko,0
98,289059,19/20,Champions League,Shakhtar Donetsk,6,0,0,0,0,0,536,Shakhtar Donetsk,Mykola Matvienko,0
99,289059,18/19,Europa League,Shakhtar Donetsk,1,0,0,1,0,0,90,Shakhtar Donetsk,Mykola Matvienko,0
100,289059,18/19,Champions League,Shakhtar Donetsk,5,0,0,1,0,0,450,Shakhtar Donetsk,Mykola Matvienko,0
101,289059,16/17,Europa League,Shakhtar Donetsk,2,0,1,0,0,0,180,Shakhtar Donetsk,Mykola Matvienko,0
102,203855,19/20,Europa League Qualifying,FK Mariupol,2,0,0,0,0,0,94,Shakhtar Donetsk,Igor Kyryukhantsev,0
103,203855,18/19,Europa League Qualifying,FK Mariupol,3,0,0,0,0,0,142,Shakhtar Donetsk,Igor Kyryukhantsev,0
104,329812,19/20,Europa League,SL Benfica,1,0,0,0,0,0,11,SL Benfica,Jota,0
105,329812,19/20,Champions League,SL Benfica,2,0,0,1,0,0,67,SL Benfica,Jota,0
106,329812,18/19,Europa League,SL Benfica,1,0,0,0,0,0,62,SL Benfica,Jota,0
107,357153,20/21,Champions League,FC Porto,1,0,0,0,0,0,1,FC Porto,Diogo Costa,1
108,423744,20/21,Champions League,Chelsea FC,2,0,0,0,0,0,95,Chelsea FC,Billy Gilmour,0
109,256120,18/19,Europa League,Real Betis Balompié,2,0,0,0,0,0,98,FC Barcelona,Wilfrid Kaptoum,1
110,256120,15/16,Champions League,FC Barcelona,1,0,0,0,0,0,62,FC Barcelona,Wilfrid Kaptoum,1
111,290384,17/18,Europa League Qualifying,Legia Warszawa,2,0,0,0,0,0,44,SL Benfica,Hildeberto,0
112,225122,19/20,Champions League,Valencia CF,3,0,0,0,0,0,198,SL Benfica,Gonçalo Guedes,0
113,225122,18/19,Europa League,Valencia CF,8,3,1,1,0,0,506,SL Benfica,Gonçalo Guedes,0
114,225122,18/19,Champions League,Valencia CF,4,0,0,1,0,0,317,SL Benfica,Gonçalo Guedes,0
115,225122,16/17,Champions League,SL Benfica,6,2,1,0,0,0,422,SL Benfica,Gonçalo Guedes,0
116,225122,15/16,Champions League,SL Benfica,7,1,0,2,0,0,495,SL Benfica,Gonçalo Guedes,0
117,340376,20/21,Europa League,SC Braga,4,0,0,0,0,0,187,FC Barcelona,Abel Ruiz,1
118,340376,19/20,Europa League,SC Braga,2,1,0,1,0,0,96,FC Barcelona,Abel Ruiz,1
119,203854,18/19,Europa League Qualifying,FK Mariupol,2,0,0,1,0,0,134,Shakhtar Donetsk,Andriy Boryachuk,0
120,203854,16/17,Europa League,Shakhtar Donetsk,3,0,1,1,0,0,156,Shakhtar Donetsk,Andriy Boryachuk,0
121,203854,15/16,Europa League,Shakhtar Donetsk,1,0,0,0,0,0,1,Shakhtar Donetsk,Andriy Boryachuk,0
